title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
Asterix et Obelix Contre Cesar,N/A,N/A,"$2,627,900",Lions Gate,"June 4, 1999",Foreign,1 hrs. 45 min.,Unrated,N/A,"$1,644,060",Roberto Benigni,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asterix et Obelix:<br/>Mission Cleopatra,N/A,N/A,"$4,353,800",Lions Gate,"June 7, 2002",Foreign,1 hrs. 47 min.,Unrated,N/A,"$111,127,553",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Astro Boy,David Bowers,N/A,"$20,853,400",Summit Entertainment,"October 23, 2009",Animation,1 hrs. 34 min.,PG,$65 million,"$39,886,986",Freddie Highmore,Nicolas Cage,Kristen Bell*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,David Bowers,N/A,John Ottman,N/A
The Astronaut Farmer,N/A,N/A,"$12,986,900",Warner Bros.,"February 23, 2007",Drama,1 hrs. 44 min.,PG,$13 million,"$11,130,889",Billy Bob Thornton,Virginia Madsen,Max Thieriot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Astronaut's Wife,N/A,N/A,"$17,059,300",New Line,"August 27, 1999",Horror Thriller,1 hrs. 50 min.,R,$75 million,"$19,598,588",Johnny Depp,Charlize Theron,N/A,N/A,N/A,N/A,Mark Johnson*,Andrew Lazar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asylum,N/A,N/A,"$475,500",Paramount Classics,"August 12, 2005",Romantic Thriller,1 hrs. 30 min.,R,N/A,"$1,644,363",Ian McKellen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
At Any Price,N/A,N/A,"$368,800",Sony Classics,"April 24, 2013",Adventure,1 hrs. 45 min.,R,N/A,"$380,594",Zac Efron,Dennis Quaid,N/A,N/A,N/A,N/A,Justin Nappi,Teddy Schwarzman,Kevin Turen,N/A,N/A,N/A,N/A,N/A,N/A,N/A
At Berkeley,N/A,N/A,"$30,900",Zipporah Films,"November 8, 2013",Documentary,4 hrs. 4 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
At Close Range,James Foley,N/A,"$5,136,800",Orion Pictures,"April 18, 1986",Unknown,1 hrs. 55 min.,R,N/A,N/A,Sean Penn,Christopher Walken,Kiefer Sutherland*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
At First Sight,Irwin Winkler,N/A,"$35,749,000",MGM,"January 15, 1999",Romance,2 hrs. 4 min.,PG-13,$60 million,N/A,Val Kilmer,N/A,N/A,N/A,N/A,N/A,Rob Cowan,Irwin Winkler,N/A,N/A,N/A,N/A,N/A,N/A,Mark Isham,N/A
