title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
Taking Sides,N/A,N/A,"$253,900",New Yorker,"September 5, 2003",Unknown,1 hrs. 49 min.,Unrated,N/A,"$188,952",Stellan Skarsgard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taking Woodstock,Ang Lee,N/A,"$8,119,100",Focus Features,"August 26, 2009",Comedy,2 hrs. 1 min.,R,$30 million,"$9,975,737",Demetri Martin,Imelda Staunton,Paul Dano,Jeffrey Dean Morgan,Dan Fogler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Danny Elfman,N/A
Talaash,N/A,N/A,"$2,997,500",Reliance Big Pictures,"November 30, 2012",Foreign,2 hrs. 19 min.,Unrated,N/A,"$2,871,956",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Tale of Despereaux,Sam Fell,N/A,"$57,537,900",Universal,"December 19, 2008",Animation,1 hrs. 27 min.,G,$60 million,"$86,947,965",Matthew Broderick,Dustin Hoffman,Emma Watson,Kevin Kline*,William H. Macy*,Stanley Tucci*,Robin Bissell,Ryan Kavanaugh,N/A,N/A,N/A,N/A,N/A,N/A,William Ross,N/A
The Tale of The Princess Kaguya,N/A,N/A,"$691,100",GKIDS,"October 17, 2014",Animation,2 hrs. 17 min.,PG,N/A,"$24,186,232",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Tale of Two Pizzas,N/A,N/A,"$18,800",Cockeyed Caravan,"February 11, 2005",Comedy,1 hrs. 22 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Tale of Two Sisters,Jee-woon Kim,N/A,"$93,300",Tartan,"December 3, 2004",Foreign / Horror,1 hrs. 55 min.,R,N/A,"$72,541",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jee-woon Kim,N/A,N/A,N/A
A Tale of Winter (Conte d'hiver),N/A,N/A,"$22,800",Big World Pictures,"December 19, 2014",Foreign,1 hrs. 54 min.,Unrated,N/A,"$23,268",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Talent for the Game,N/A,N/A,"$648,800",Paramount,"April 26, 1991",Unknown,1 hrs. 31 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Talent Given Us,N/A,N/A,"$83,400",Vitagraph,"June 17, 2005",Comedy / Drama,1 hrs. 38 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Talented Mr. Ripley,Anthony Minghella,N/A,"$124,992,800",Paramount,"December 25, 1999",Thriller,2 hrs. 19 min.,R,$40 million,"$128,798,265",Matt Damon,Gwyneth Paltrow,Jude Law,Cate Blanchett,Philip Seymour Hoffman,Jack Davenport,Sydney Pollack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gabriel Yared,N/A
Talento de Barrio,N/A,N/A,"$77,500",Maya Entertainment,"October 10, 2008",Foreign,1 hrs. 47 min.,R,N/A,"$1,650,198",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tales from Earthsea,Goro Miyazaki,N/A,"$49,500",Buena Vista,"August 13, 2010",Animation,1 hrs. 55 min.,PG-13,N/A,"$68,673,565",Willem Dafoe*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Goro Miyazaki,N/A,N/A,N/A
Tales From the Darkside:<br/>The Movie,N/A,N/A,"$31,337,000",Paramount,"May 4, 1990",Horror,1 hrs. 33 min.,R,N/A,N/A,Julianne Moore*,N/A,N/A,N/A,N/A,N/A,Richard P. Rubinstein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tales from the Hood,N/A,N/A,"$22,097,500",Savoy,"May 26, 1995",Horror Comedy,1 hrs. 38 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christopher Young,N/A
Tales from the Script,N/A,N/A,"$7,700",First Run,"March 12, 2010",Documentary,1 hrs. 45 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Tales of Hoffmann (2015 re-issue),N/A,N/A,"$91,900",Rialto,"March 13, 2015",Musical,2 hrs. 18 min.,Unrated,N/A,"$91,930",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tales of the Night,N/A,N/A,"$11,200",GKIDS,"September 26, 2012",Animation,1 hrs. 24 min.,Unrated,N/A,"$1,720,557",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Talk of Angels,N/A,N/A,"$31,700",Miramax,"October 30, 1998",Unknown,1 hrs. 36 min.,PG-13,N/A,N/A,Penelope Cruz,Frances McDormand,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trevor Jones,N/A
Talk Radio,Oliver Stone,N/A,"$7,083,000",Universal,"December 23, 1988",Unknown,1 hrs. 49 min.,R,N/A,N/A,Alec Baldwin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Talk to Her,Pedro Almodovar,N/A,"$12,550,200",Sony Classics,"November 22, 2002",Foreign,1 hrs. 56 min.,R,N/A,"$51,001,550",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pedro Almodovar,N/A,Alberto Iglesias,N/A
Talk to Me,N/A,N/A,"$5,350,300",Focus Features,"July 13, 2007",Period Drama,1 hrs. 58 min.,R,N/A,"$4,778,376",Don Cheadle,Taraji P. Henson,Cedric the Entertainer,N/A,N/A,N/A,J. Miles Dale,Mark Gordon,Sidney Kimmel,N/A,N/A,N/A,N/A,N/A,Terence Blanchard,N/A
Talking Dirty After Dark,N/A,N/A,"$1,887,800",New Line,"May 17, 1991",Comedy,1 hrs. 26 min.,R,N/A,N/A,Martin Lawrence,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Talking Picture,N/A,N/A,"$26,000",Kino,"December 10, 2004",Foreign,1 hrs. 36 min.,Unrated,N/A,N/A,John Malkovich,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Tall Guy,N/A,N/A,"$980,400",Miramax,"September 21, 1990",Unknown,1 hrs. 32 min.,R,N/A,N/A,Emma Thompson,N/A,N/A,N/A,N/A,N/A,Tim Bevan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Tall Man,N/A,N/A,N/A,Image Entertainment,"August 31, 2012",Thriller,1 hrs. 40 min.,Not Yet Rated,N/A,"$5,212,903",Jessica Biel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tall Tale,N/A,N/A,"$15,395,600",Buena Vista,"March 24, 1995",Family Adventure,1 hrs. 37 min.,PG,$32 million,"$11,047,627",Patrick Swayze,William H. Macy*,N/A,N/A,N/A,N/A,Bill Badalato,Roger Birnbaum,Joe Roth,N/A,N/A,N/A,N/A,N/A,Randy Edelman,N/A
Talladega Nights:<br/>The Ballad of Ricky Bobby,Adam McKay,N/A,"$183,739,300",Sony / Columbia,"August 4, 2006",Sports Comedy,1 hrs. 50 min.,PG-13,$72.5 million,"$162,966,177",Will Ferrell,Sacha Baron Cohen,Amy Adams,Michael Clarke Duncan,Rob Riggle*,N/A,Judd Apatow,Ryan Kavanaugh,Adam McKay,N/A,N/A,N/A,Will Ferrell,Adam McKay,Alex Wurman,N/A
Tamala 2010,N/A,N/A,"$4,400",Vitagraph,"April 2, 2004",Unknown,1 hrs. 31 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamara,N/A,N/A,"$256,400",City Lights Pictures Releasing,"February 3, 2006",Horror,1 hrs. 38 min.,R,$3.5 million,N/A,Jenna Dewan-Tatum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamara Drewe,Stephen Frears,N/A,"$568,800",Sony Classics,"October 8, 2010",Comedy,1 hrs. 47 min.,R,N/A,"$11,910,695",Gemma Arterton,Dominic Cooper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tammy,N/A,N/A,"$84,943,900",Warner Bros.,"July 2, 2014",Comedy,1 hrs. 36 min.,R,$20 million,"$100,375,432",Melissa McCarthy,Susan Sarandon,Kathy Bates,Mark Duplass,Toni Collette,N/A,Will Ferrell,Melissa McCarthy,Adam McKay,N/A,N/A,N/A,Melissa McCarthy,N/A,N/A,N/A
Tangerine,N/A,N/A,"$60,700",Magnolia,"July 10, 2015",Comedy / Drama,1 hrs. 28 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jay Duplass,Mark Duplass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tangerines,N/A,N/A,"$144,500",Samuel Goldwyn,"April 17, 2015",Foreign,1 hrs. 26 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tangled,N/A,N/A,"$204,407,900",Buena Vista,"November 24, 2010",Animation,1 hrs. 40 min.,PG,$260 million,"$591,794,936",Mandy Moore,Zachary Levi,N/A,N/A,N/A,N/A,John Lasseter,N/A,N/A,N/A,N/A,N/A,Dan Fogelman,N/A,Alan Menken,N/A
Tango,N/A,N/A,"$3,033,700",Sony Classics,"January 22, 1999",Foreign,1 hrs. 45 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tango &amp; Cash,N/A,N/A,"$123,255,100",Warner Bros.,"December 22, 1989",Action Comedy,1 hrs. 44 min.,R,N/A,N/A,Kurt Russell,Sylvester Stallone,N/A,N/A,N/A,N/A,Larry J. Franco,Jon Peters,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Tango Lesson,N/A,N/A,"$1,910,900",Sony Classics,"November 14, 1997",Romance,1 hrs. 40 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tank,N/A,N/A,"$27,315,300",Universal,"March 16, 1984",Unknown,1 hrs. 44 min.,PG,N/A,N/A,James Garner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tank Girl,N/A,N/A,"$7,587,100",MGM,"March 31, 1995",Sci-Fi Comedy,1 hrs. 43 min.,R,$25 million,N/A,Naomi Watts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Graeme Revell,N/A
Tanner Hall,N/A,N/A,"$5,200",Anchor Bay Films,"September 9, 2011",Drama,N/A,R,N/A,N/A,Rooney Mara,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Tao of Steve,N/A,N/A,"$6,541,500",Sony Classics,"August 4, 2000",Comedy,1 hrs. 27 min.,R,N/A,"$4,406,030",N/A,N/A,N/A,N/A,N/A,N/A,Ted Hope,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tap,N/A,N/A,"$18,642,700",TriStar,"February 10, 1989",Unknown,1 hrs. 51 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Richard Vane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Newton Howard,N/A
Tap World,N/A,N/A,"$8,700",Vitagraph,"July 10, 2015",Documentary,1 hrs. 12 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tape,Richard Linklater,N/A,"$703,700",Lions Gate,"November 2, 2001",Unknown,1 hrs. 24 min.,R,N/A,"$490,475",Ethan Hawke,Uma Thurman,N/A,N/A,N/A,N/A,John Sloss,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tapeheads,N/A,N/A,"$679,200",Avenue Pict.,"October 21, 1988",Unknown,1 hrs. 33 min.,R,N/A,N/A,John Cusack,Tim Robbins,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taps,N/A,N/A,"$99,571,700",Fox,"December 9, 1981",Drama,2 hrs. 6 min.,PG,N/A,N/A,Tom Cruise,Sean Penn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Robert Mark Kamen,N/A,N/A,N/A
The Taqwacores,N/A,N/A,"$11,600",Strand,"October 22, 2010",Drama,1 hrs. 20 min.,Unrated,N/A,"$11,445",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tarantella,N/A,N/A,"$11,500",Tara Releasing,"March 15, 1996",Unknown,1 hrs. 40 min.,Unrated,N/A,N/A,Matthew Lillard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Target,N/A,N/A,"$20,639,000",Warner Bros.,"November 8, 1985",Unknown,1 hrs. 57 min.,R,N/A,N/A,Matt Dillon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tarnation,N/A,N/A,"$769,200",Wellspring,"October 6, 2004",Documentary,1 hrs. 28 min.,Unrated,$220,"$592,014",N/A,N/A,N/A,N/A,N/A,N/A,John Cameron Mitchell,Gus Van Sant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tarzan,Chris Buck,N/A,"$273,428,200",Buena Vista,"June 16, 1999",Animation,1 hrs. 28 min.,G,$130 million,"$448,191,819",Glenn Close*,Lance Henriksen*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mark Mancina,N/A
Tarzan and the Lost City,N/A,N/A,"$3,762,100",Warner Bros.,"April 24, 1998",Period Adventure,1 hrs. 45 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Tarzan, the Ape Man",N/A,N/A,"$106,802,200",MGM,"July 24, 1981",Period Adventure,1 hrs. 55 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tashan,N/A,N/A,"$517,300",Yash Raj,"April 25, 2008",Action Thriller,2 hrs. 40 min.,Unrated,N/A,"$11,283,337",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Taste of Others,N/A,N/A,"$1,278,800",Miramax,"September 15, 2000",Foreign,1 hrs. 52 min.,R,N/A,"$1,021,938",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tasting Menu,N/A,N/A,"$18,200",Magnolia,"April 18, 2014",Comedy,1 hrs. 25 min.,PG-13,N/A,"$18,686",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tasuma:<br/>The Fighter,N/A,N/A,$600,Artmattan Prods.,"July 30, 2004",Foreign,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tatie Danielle,N/A,N/A,"$1,166,200",Miramax,"May 17, 1991",Foreign,1 hrs. 51 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gabriel Yared,N/A
Tattoo Bar,N/A,N/A,"$4,100",Artmattan Prods.,"July 5, 2002",Unknown,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taur Mittran Di,N/A,N/A,"$71,300",Eros,"May 11, 2012",Foreign,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taxi,Tim Story,N/A,"$47,858,800",Fox,"October 6, 2004",Action Comedy,1 hrs. 37 min.,PG-13,$25 million,"$68,895,435",Queen Latifah,John Krasinski*,N/A,N/A,N/A,N/A,Luc Besson,Robert Simonds,N/A,N/A,N/A,N/A,Thomas Lennon &amp; Ben Garant,N/A,Christophe Beck,N/A
Taxi (1998),N/A,N/A,"$464,400",Lions Gate,"November 20, 1998",Unknown,1 hrs. 26 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A
Taxi 2,N/A,N/A,"$943,300",Lions Gate,"October 6, 2000",Unknown,1 hrs. 22 min.,Unrated,N/A,"$60,726,164",N/A,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A
Taxi 3,N/A,N/A,"$669,500",Christal Films,"May 30, 2003",Unknown,1 hrs. 24 min.,Unrated,$1.3 million,"$65,497,208",N/A,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A,N/A,N/A,Luc Besson,N/A,N/A,N/A
Taxi 9211,N/A,N/A,"$363,000",UTV Communications,"February 24, 2006",Foreign,2 hrs. 5 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taxi Driver,Martin Scorsese,N/A,"$104,073,200",Columbia,"February 7, 1976",Drama / Thriller,1 hrs. 53 min.,R,N/A,N/A,Albert Brooks,Robert DeNiro,Jodie Foster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paul Schrader,N/A,N/A,N/A
Taxi Driver (re-issue),N/A,N/A,"$1,768,300",Sony / Columbia,"February 16, 1996",Drama / Thriller,1 hrs. 54 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taxi to the Dark Side,N/A,N/A,"$310,600",ThinkFilm,"January 18, 2008",Documentary,1 hrs. 46 min.,R,N/A,"$294,309",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taxidermia,N/A,N/A,"$12,900",Regent Releasing,"August 14, 2009",Foreign / Horror,1 hrs. 31 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Taxman,N/A,N/A,"$15,800",Phaedra,"September 17, 1999",Unknown,1 hrs. 44 min.,R,$3.5 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tazza:<br/>The Hidden Card,N/A,N/A,"$252,800",CJ Entertainment,"September 19, 2014",Foreign,2 hrs. 27 min.,Unrated,N/A,"$251,555",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tchoupitoulas,N/A,N/A,"$19,700",Oscilloscope Pictures,"December 7, 2012",Documentary,1 hrs. 20 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tea with Mussolini,N/A,N/A,"$23,019,800",MGM,"May 14, 1999",Period Drama,1 hrs. 57 min.,PG,$12 million,N/A,Cher,Judi Dench,Lily Tomlin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Teacher,N/A,N/A,"$8,600",Oscilloscope Pictures,"September 6, 2013",Drama,1 hrs. 15 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teacher's Pet,N/A,N/A,"$8,488,700",Buena Vista,"January 16, 2004",Animation,1 hrs. 15 min.,PG,N/A,"$6,491,969",Kelsey Grammer*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teachers,N/A,N/A,"$67,121,100",MGM,"October 5, 1984",Comedy / Drama,1 hrs. 47 min.,R,N/A,N/A,Morgan Freeman*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teaching Mrs. Tingle,N/A,N/A,"$14,309,000",Miramax,"August 20, 1999",Comedy Thriller,1 hrs. 35 min.,PG-13,$13 million,N/A,Katie Holmes,Helen Mirren,N/A,N/A,N/A,N/A,Ted Field,Cathy Konrad,Scott Kroopf,N/A,N/A,N/A,Kevin Williamson,N/A,John Frizzell,N/A
Team America:<br/>World Police,Trey Parker,N/A,"$42,867,900",Paramount,"October 15, 2004",Comedy,1 hrs. 45 min.,R,$32 million,"$50,907,422",N/A,N/A,N/A,N/A,N/A,N/A,Scott Aversano,Scott Rudin,N/A,N/A,N/A,N/A,Pam Brady,Trey Parker,Harry Gregson-Williams,N/A
Tears of the Black Tiger,N/A,N/A,"$88,800",Magnolia,"January 12, 2007",Foreign / Action,1 hrs. 50 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tears of the Sun,Antoine Fuqua,N/A,"$58,893,400",Sony (Revolution),"March 7, 2003",Action Drama,1 hrs. 58 min.,R,$75 million,"$86,468,162",Monica Bellucci,Bruce Willis,N/A,N/A,N/A,N/A,Ian Bryce,Joe Roth,Cathy Schulman*,N/A,N/A,N/A,N/A,N/A,Hans Zimmer,N/A
Ted,Seth MacFarlane,N/A,"$228,378,100",Universal,"June 29, 2012",Comedy,1 hrs. 46 min.,R,$50 million,"$549,368,315",Mark Wahlberg,Mila Kunis,Seth MacFarlane,Giovanni Ribisi,Patrick Stewart*,N/A,Jason Clark,John Jacobs,Seth MacFarlane,Scott Stuber,Wellesley Wild,N/A,Seth MacFarlane,Alec Sulkin,Walter Murphy,N/A
Ted 2,Seth MacFarlane,N/A,"$74,225,000",Universal,"June 26, 2015",Comedy,N/A,R,N/A,"$127,525,722",Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Morgan Freeman,Liam Neeson,N/A,Jason Clark,John Jacobs,Seth MacFarlane,Scott Stuber,N/A,N/A,Seth MacFarlane,Alec Sulkin,Walter Murphy,N/A
Ted Bundy,N/A,N/A,"$8,500",Tartan,"September 13, 2002",Unknown,1 hrs. 40 min.,R,N/A,"$6,073",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teddy Bear,N/A,N/A,"$16,800",Film Movement,"August 22, 2012",Foreign,1 hrs. 32 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teddy Bears' Picnic,N/A,N/A,"$39,300",Magnolia,"March 29, 2002",Comedy,1 hrs. 20 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teen Witch,N/A,N/A,"$56,900",Trans World Ent.,"April 21, 1989",Unknown,1 hrs. 34 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teen Wolf,N/A,N/A,"$75,679,800",Atlantic,"August 23, 1985",Horror Comedy,1 hrs. 31 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teen Wolf Too,N/A,N/A,"$16,382,700",Atlantic,"November 20, 1987",Horror Comedy,1 hrs. 35 min.,PG,N/A,N/A,Jason Bateman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teenage,N/A,N/A,"$39,900",Oscilloscope Pictures,"March 14, 2014",Documentary,1 hrs. 18 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teenage Mutant Ninja Turtles,N/A,N/A,"$259,659,400",New Line,"March 30, 1990",Family Adventure,1 hrs. 33 min.,PG,$13.5 million,"$201,965,915",Sam Rockwell*,N/A,N/A,N/A,N/A,N/A,Simon Fields,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teenage Mutant Ninja Turtles (2014),Jonathan Liebesman,N/A,"$192,151,300",Paramount,"August 8, 2014",Action / Adventure,1 hrs. 41 min.,PG-13,$125 million,"$485,004,754",Megan Fox,Johnny Knoxville,N/A,N/A,N/A,N/A,Michael Bay,Ian Bryce,Andrew Form,Brad Fuller,Scott Mednick,N/A,Josh Appelbaum,Evan Daugherty,Brian Tyler,N/A
Teenage Mutant Ninja Turtles II,N/A,N/A,"$151,708,600",New Line,"March 22, 1991",Family Adventure,1 hrs. 28 min.,PG,$25 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teenage Mutant Ninja Turtles III,N/A,N/A,"$82,913,500",New Line,"March 19, 1993",Family Adventure,1 hrs. 35 min.,PG,$21 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tees Maar Khan,N/A,N/A,"$1,094,200",UTV Communications,"December 22, 2010",Foreign,2 hrs. 15 min.,Unrated,N/A,"$2,454,414",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teeth,N/A,N/A,"$393,100",Roadside Attractions,"January 18, 2008",Horror Comedy,1 hrs. 28 min.,R,N/A,"$2,340,110",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
